Q. Cre’n Oyr ta’n Agglish er phointeil yn imbagh crauee shoh?,Q. Wherefore has the Church appointed the holy season of Advent?,
"A. Dy yannoo shin aarloo cour yn feailley mooar jeh cheet er y theihll Chreest, ny’n cheet echey ’syn eill.","A. To prepare us for the great Festival of Christ’s birth, or coming in the Flesh.",
Q. Kys lhisagh shin jannoo shin hene aarloo cour yn feailley mooar shoh?,Q. How ought we to prepare ourselves for this Festival?,
"A. Liorish goaiil [sic: goaill] padjer son, as streeu dy gheddyn lheid ny Grayseyn as haink Creest gys y theihll dy ynsagh dooin.","A. By praying for, and endeavouring after such virtues as Christ came into the world to teach us.",
"Q. Cre’n Ard-oyr ta’n Agglish soiagh roïn, dy chiangley as dy ghriennagh shin seose gys lheid ny grayseyn as craueeaght Bea?",Q. What consideration does the Church offer to engage us to such virtues and holiness of life?,
"A. Shickyrys jeh cheet Chreest reesht yn nah cheayrt dy vriwnys yn seihll, as dy eam orrin gys coontey, cre’n aght ta shin er leeideil nyn Mea ayns shoh.","A. The assurance of Christ’s second coming to judge the world, and to call us to an account how we have lived here.",
,,
,,
,[48],
4. CHAB.,SECT. IV.,
LAA-NOLLICK.,Christmas-Day.,
Q. CRE t’ou toiggal liorish Laa-nollick?,Q. What do you mean by Christmas Day?,
A. Yn Laa shen er ta shin freayl cooinaghtyn dy row nyn Jiarn as saualtagh Yeesey Creest ruggit gys y theihll? ,A. That day on which we remember our Lord and Saviour Jesus Christ’s being born into the world.,
[31] Q. Quoi va nyn Saualtagh Creest?,Q. Who was our Saviour Christ?,
A. Mac braa Yee.,A. The eternal Son of God.,
Q. As nagh row nyn Saualtagh Creest ny ghooinney neesht?,"Q. And was not our Saviour Christ, Man also?",
"A. Va, as ve ruggit ’sy dooghys ain jeh’n Voidyn voirrey.","A. Yes, as he was born in our nature of the Virgin Mary.",
"Q. Cre eisht, row daa ghooghys ayns nyn Saualtagh Creest?",Q. What then had our Saviour Christ two natures?,
"A. Va echey da [sic: daa] ghooghys, myr ve Jee as dooinney ayns yn un as yn persoon cheddin.","A. He had two natures, being both God and Man in one and the same person.",
Q. Cre t’ou toiggal tra t’ou gra dy vel nyn saualtagh Creest ny Yee?[21],Q. What do you mean when you say our Saviour Christ is God?,
"A. Ta me toiggal, dy vel nyn Saualtagh Creest Mac Yee, as dy row eh ayns niau er dy rieau, jeh’n un dooghys rish yn Ayr.","A. I mean that our Saviour Christ is the Son of God, and was in Heaven from all eternity, being of one Substance with the Father.",
Q. Cre t’ou toiggal tra t’ou gra dy daink Mac Yee dy ve dooinney?,[49] Q. And what do you mean when you say that the Son of God became Man?,
"A. Ta mee toiggal dy ghooidsave lesh Mac braa Yee dy ghoaill huggey hene yn feill shen, va er ny ruggey jeh’n Voidyn voirrey; ta shen dy ghra, yn dooinney Yeesey Creest, myr shen dy daink ee dy ve un persoon marish.","A. I mean, that the eternal Son of God was pleased to join himself to that flesh which was born in the Virgin Mary; namely, to the Man Jesus Christ, so as to become one person with Him.",
Q. Cre’n oyr ren Creest ooilley shoh?,Q. Why did Christ do all this?,
A. Son y Saualtys ain.,A. For our Salvation.,
Q. Cre t’ou toiggal liorish Saualtys?,Q. What do you mean by Salvation?,
"A. Sauail shin veih treihys Niurin, as jannoo shin maynrey son dy bragh ayns Niau.","A. The saving us from the miseries of Hell, and making us for ever happy in Heaven.",
,,
,,
5. CHAB.,SECT. V.,
EPIPHANY NY LAA CHIBBYRT USHTEY.,Epiphany.,
Q. KYS ta’n fockle Epiphany dy ve toiggit?,Q. What does the word Epiphany signify?,
A. Te yn unn chooid rish Soilshagey [sic: Soilshaghey] ny dy yeeaghyn.,"A. It signifies Manifestation, or shewing forth.",
Q. Cre ta shin freayll ayns cooinaghtyn er y feailley shoh?,Q. What is it that we commemorate on this Festival?,
A. Soilshagey [sic: Soilshaghey] nyn saualtagh bannit da ny Ashoonyn quaagh.,[50] A. The Manifestation or Appearance of our blessed Saviour to the Gentiles?,
Q. Quoi va ny Ashoonyn quaagh?,Q. Who were the Gentiles?,
A. Ooilley’n sleih v’ayns y theihll nagh row nyn Hewnyn.,A. All the people in the world that were not Jews.,
Q. Quoi eisht va ny Hewnyn?,Q. Who then were the Jews?,
A. Adsyn ren geiyrt da Leigh Voses.,A. Those who observed the law of Moses.,
Q. Kys va nyn Saualtagh bannit soilshit da ny Hewnyn?,Q. How was our blessed Saviour manifested to the Jews?,
A. Ve soilshit da Bochillyn ny Hewnyn er yn eer laa ruggyr eh.,A. He was made known to the Jewish shepherds on the very day of his birth.,
Q. Kys ve er ny hoilshaghey da ny ashoonyn quaagh? ,Q. How was he manifested to the Gentiles?,
[32] A. V’eh er ny hoilshagh da deiney creeney yn Shar liorish rollaage vooar va ry akin ayns ny Niaughyn.,"A. He was made known to the wise men of the east, by the appearance of an extraordinary star in the Heavens.",
Q. Kys ren fakin yn rollaage shoh soilshagh nyn saualtagh da ny Deiney creeney?,Q. How did the appearance of this star discover our Saviour to the wise men?,
"A. Te laik dy row ad er nyn ghriennagh veih Niau dy chur geïll as dy eiyrt da’n rollaage shoh, derrey haink ee as hass ee er skyn yn ynnyd raad va’n lhiannoo Yeesey.","A. It is likely they were admonished from Heaven to observe and follow this star, till it came and stood over where the Child Jesus was.",
Q. Cre ren ny deiney creeney tra hooar ad nyn Saualtagh Creest?,Q. What did the wise men do when they found our Saviour Christ?,
"A. Huit ad sheese, as hug ad ooashley da, as heb ad Giootyn, airh, frankincense as myrrh.","A. They fell down and worshipped [51] Him, and presented to Him gifts, gold, frankincense, and myrrh.",
Q. Cre va dy ve toiggit liorish ny Giootyn shoh da Creest?,Q. What did these gifts signify concerning Christ?,
"A. Ren chebbal airh soilshagh dy row Creest dy ve ny Ree; myrrh ta cliaghtit cour sleih marroo, soilshagh dy row eh dy gheddyn baase; as yn incense soilshagh dy row eh ny Yee.","A. The offering of Gold signified Christ to be a king; Myrrh, being used for dead persons, signified he was to die; and the incense signified him to be God.",
Q. Cre’n Oyr t’ain dy chur moylley da Jee er y feailley shoh?,Q. What reason have we to praise God on this Festival?,
"A. Son dy nee liorish shoh, va’n toiggal jeh Creest, as raad yn taualtys er ny hoilshagh dooinyn Ashoonyn quaagh chammah as da ny Hewnyn.","A. Because by this means the knowledge of Christ, and the way of Salvation, was published to us Gentiles as well as Jews.",
,,
,,
6. CHAB.,SECT. VI.,
JY-HEINEY CHEAST. Laa-Troshtee.,Good Friday. A Fast.,
Q. CRE t’ou toiggal liorish Jy-heiney Cheast?,Q. What do you mean by Good Friday?,
A. Yn Laa er ta shin freayll cooinaghtyn dy ren nyn Saualtagh bannit Yeesey Creest geddyn baase as surranse er nyn son.,A. That day on which we remember our blessed Saviour Jesus Christ dying and suffering for us.,
Q. Cre’n oyr ta shin genmys shoh Jy-heiney mie?,Q. Why do you call this Good Friday?,
"A. Er coontey ny reddyn mie shen, as ny bannaghtyn mooar ta shin geddyn liorish dy dooar Creest baase er nyn son.",[52] A. Because of those good things and great blessings we obtain by Christ’s dying for us.,
Q. Quoi fo ren Creest surranse?,Q. Under whom did Christ suffer?,
A. Fo Pontius Pilate.,A. Under Pontius Pilate.,
Q. Quoi va Pontius Pilate?,Q. Who was Pontius Pilate?,
A. Kiannoort yn ynnyd raad ren Creest beaghey.,A. Governor of the place where Christ lived.,
Q. Cre’n baase ren Creest surranse?,Q. What death did Christ suffer?,
A. Ve’h [sic: V’eh] er ny chrossey.,A. He was crucified.,
Q. Cre t’ou toiggal liorish v’er ny chrossey?,Q. What do you mean by being crucified?,
A. Treiney eh gys crosh dy fuygh derrey ve marroo.,A. The nailing Him to a cross of wood till He was dead.,
Q. Cre hon ren Creest yn baase shoh y hurranse? ,Q. Why did Christ die this death?,
[33] A. Son y kionnaghey reesht ain.,A. For our redemption.,
Q. Cre t’ou toiggal liorish kionnaghey reesht?,Q. What do you mean by redemption?,
"A. Geeck leagh er nyn son, ny livrey shin veih’n kerraghey va cair da nyn beccaghyn.",A. The ransoming or delivering us from that punishment which was due to our sins.,
Q. Cre va shen?,Q. What was that?,
A. Baase dy bragh farraghtyn ny treihys braa.,"A. Eternal death, or everlasting misery.",
Q. Myr va Creest ny Yee chammah as dooinney kys oddagh eh surranse?,"Q. As Christ was God as well as Man, how could he suffer?",
"A. Cha ren eh surranse yn ayrn sloo ayns yn Jeeys echey, ren eh ny lomarcan surranse ayns e ghooghys dooinney.",A. He did not suffer the least in his [53] Godhead. He only suffered in his human or man’s nature.,
"Q. Kys haink surranse Chreest dy ve wheesh soit jeh, as cha toilchinagh son kionnaghey reesht sheelnaue?",Q. How then did the sufferings of Christ become so valuable and meritorious for the redemption of mankind?,
"A. Myr va Creest ny Yee chammah as dooinney as dy bollagh seyr veih peccah, va soiaghey jeant jeh’n surranse echey myr lhiasaghey fondagh son peccaghyn yn slane seihll.","A. Christ being God as Well as Man, and entirely without sin, his sufferings were accepted as a sufficient satisfaction for the sins of the whole world.",
Q. Cre ta Creest er chosney dooin liorish yn Surranse echey?,Q. What has Christ obtained for us by his sufferings?,
"A. Pardoon son nyn beccaghyn, grayse Spyrryd casherick Yee, as Bea veayn, as maynrys ayns flaunys.","A. The pardon of our sins, the grace of God’s Holy Spirit, and eternal life and happiness in Heaven.",
Q. Er cre ny conaantyn?,Q. Upon what conditions?,
"A. Er yn conaant jeh arrys, credjue, as Bea noa.","A. On condition of repentance, faith, and a new life.",
,,
,,
7. CHAB.,SECT. VII.,
LAA-CAISHT.,Easter Day.,
Q. CRE t’ou toiggal liorish Laa-caisht?,Q. What do you mean by Easter Day?,
A. Laa er ta shin freayll cooinaghtyn dy ren nyn Saualtagh bannit girree reesht veih ny Merriu.,A. The day on which we remember our blessed Saviour’s Resurrection.,
Q. Cre’n bun t’ou cur er yn fockle caisht?,[54] Q. What is the meaning of the word Easter?,
A. Te shenn fockle ta meanal casherick.,A. It is an old word that signifies to rise.,
Q. Cre t’ou toiggol [sic: toiggal] liorish irree-seose reesht nyn Saualtagh?,Q. What do you mean by our Saviour’s Resurrection?,
A. Irree seose Chreest veih ny merriu lurg da ve er ny chrossey.,A. Christ’s rising again from the dead after he had been crucified.,
Q. Cre berree [sic: b’erree] da Corp Yeesey lurg e vaase?,Q. What became of the body of Jesus after his death?,
A. Va’n Corp echey er ny oanluckey.,A. His body was buried.,
Q. Cre jagh yn Annym echey?[22],Q. What became of his soul?,
"A. Hie eh gys Pargeys, ny raad ta anmeenyn maynrey as bannit lurg daue partail.","A. It went into Paradise, or the place of happy departed souls.",
Q. Caaid va Creest marroo?,Q. How long was Christ dead?,
A. Three Laa.,A. Three days.,
Q. Cre ren eh er y trass laa lurg y Vaase? ,Q. What did he do on the third day after his death?,
"[34] A. Hrog eh eh hene reesht gys bioys, myr ve roie.","A. He raised himself to life again, the same as he was before.",
Q. Cre hon ren Creest girree veih ny merriu?,Q. Wherefore did Christ rise from the dead?,
A. Dy hick’ragh dooin dy row shin er nyn seyrey.,A. To assure us of our Justification.,
Q. Cre t’ou toiggal liorish ve er ny heyrey?,Q. What do you mean by our Justification?,
"A. Dy vel Jee jannoo soiagh jeein myr cairal, er coontey yn lhiasaghey jeant liorish Creest son ny Peccaghyn ain.","A. God’s accepting us as righteous, on account of the satisfaction made by Christ for our sins.",
Q. Cre’n Oyr elley v’ec Creest dy irree veih ny merriu?,[55] Q. For what other reason did Christ rise from the dead?,
A. Dy hickyragh dooin dy jean mayd myr geddin girree reesht lurg baase.,A. To assure us that we should also rise again after Death.,
,,
,,
8. CHAB.,SECT. VIII.,
JORDEIN FRASDYL.,Ascension Day.,
Q. CRE t’ou toiggal liorish Jordeïn frasdyl?,Q. What do you mean by Ascension Day?,
A. Yn laa er ta shin freayll cooinaghtyn dy ren nyn Saualtagh goll seose reesht gys niau.,A. The day on which we remember our Saviour Christ’s going up again into Heaven.,
Q. Cre’n traa ren nyn Saualtagh goll seose gys niau?,Q. When did our Saviour ascend into Heaven?,
A. Da-eed laa lurg yn irree-seose reesht echey.,A. Forty days after his resurrection.,
Q. C’raad ta Creest ny hoie ayns niau?,Q. Where does Christ sit in Heaven?,
A. Er laue yesh Yee.,A. At the right hand of God.,
Q. Cre t’ou toiggal liorish Creest soie er laue yesh Yee?,Q. What do you mean by Christ’s sitting at the right hand of God?,
A. Dy vel Creest soit seose ayns yn ooashley as yn Phooar syrjey kion-fenish Yee ayns niau.,A. That Christ is advanced to the greatest honour and power in the presence of God in Heaven.,
"Q. Cre ny vondeishyn ta shin geddyn liorish Creest ve ayns Niau, er laue yesh Yee?",Q. What benefits do we receive by [56] Christ’s being in Heaven at the right hand of God?,
"A. Teh’n [sic: T’eh] yn Fer-ta-eddyr shin, yn Fer ta loayrt ass nyn lheah, as yn Fer-ta jannoo er nyn son ayns shen.","A. He is our Mediator, Intercessor, and Advocate there.",
"Q. Cre t’ou toiggal liorish ny Goan shoh, yn Fer-ta-eddyr shin, yn Fer-ta loayrt ass nyn lheah as yn Fer-ta jannoo er nyn son?","Q. What do you mean by these words Mediator, Intercessor, and Advocate?",
"A. Foddee ad ooilley meanal yn unn red, ta shen dy vel Creest kion-fenish rish Jee ayns Niau as soiagh roish toilchinys yn surranse echey er coontey’n pardoon as yn saualtys ain.","A. They may all signify the same thing; namely, Christ appearing before God in heaven, and pleading the merits of his sufferings for our pardon and salvation.",
Q. Cre t’ou cheet er liorish toilchinys surranse Chreest?,Q. What do you mean by the merits of Christ’s sufferings?,
A. Yn Ard-feeuit as yn toilchinys mooar t’ayns yn Surranse echey er y chrosh.,A. The preciousness and value of his sufferings on the cross.,
Q. Cre elley ta Creest jannoo er nyn son ec laue yesh Yee?,Q. What else does Christ do for us at the right hand of God?,
"A. Te’h [sic: T’eh] chebbal seose nyn badjeryn da Jee, as jannoo huckey dy vod soiaghey ve jeant jeu.","A. He offers up our prayers to God, and pleads for the acceptance of them.",
Q. Nagh jig Creest reesht veih Niau?,Q. Will not Christ come again from Heaven?,
A. Hig; ec jerrey’n theihll. ,"A. Yes, at the end of the world.",
[35] Q. Cre hon hig eh?,Q. For what will he come?,
"A. Dy eamagh seose er ny merriu ass ny [sic: nyn] oaighyn, as er ooilley ny vees bio gys briwnys.","A. To call the dead out of their graves, and all that are alive, to judgment.",
,,
,,
,[57],
9. CHAB.,SECT. IX.,
DOONAGHT KINGEESH.,Whitsunday.,
Q. CRE t’ou toiggal liorish Doonaght Kingeesh?,Q. What do you mean by Whitsunday?,
A. Yn laa er ta shin freayll cooinaghtyn dy daink yn Spyrryd Noo neose veih Niau er Ostyllyn Chreest.,A. That day on which we remember the Holy Ghost’s coming down from heaven upon the Apostles of Christ.,
Q. Cre’n Oyr ta’n laa shoh enmyssit yn chingeesh?,Q. Why is this day called Whitsunday?,
"A. Er yn oyr dy row eh yn imbagh cour bashtey ’sy chied Aglish creestee, as dy row adsyn v’er nyn goamrey [?[23]] ayns coamraghyn gial.","A. Because it was the season for baptizing in the ancient church, and those who were baptized, used to be clothed in white garments.",
Q. Quoi yn Spyrryd Noo?,Q. Who is the Holy Ghost?,
A. Spyrryd casherick Yee.,A. The Holy Spirit of God.,
Q. Quoi va ny Ostyllyn?,Q. Who were the Apostles?,
A. Yn daa phersoon jeig ren Creest chur [sic: cur] magh dy ockley magh yn Sushtal.,A. Those twelve persons whom Christ sent forth to publish the Gospel.,
Q. Qre’n [sic: Cre’n] aght ren y Spyrryd Noo cheet neose er ny Ostyllyn?,Q. In what manner did the Holy Ghost come down upon the Apostles?,
